respondent_id,scenario_id,question,option_index,weight
h01,scope_2,judgment,0,0.1911
h01,scope_2,judgment,1,0.1911
h01,scope_2,judgment,2,0.3089
h01,scope_2,judgment,3,0.3089
h01,scope_2,reasoning,0,0.2611
h01,scope_2,reasoning,1,0.2667
h01,scope_2,reasoning,2,0.4722
h01,scope_2,reasoning,3,0.0
h01,mac_3,judgment,0,0.2165
h01,mac_3,judgment,1,0.5052
h01,mac_3,judgment,2,0.2784
h01,mac_3,judgment,3,0.0
h01,mac_3,reasoning,0,0.2599
h01,mac_3,reasoning,1,0.2712
h01,mac_3,reasoning,2,0.4689
h01,mac_3,reasoning,3,0.0
h01,domain_2,judgment,0,0.0
h01,domain_2,judgment,1,0.3259
h01,domain_2,judgment,2,0.3259
h01,domain_2,judgment,3,0.3481
h01,domain_2,reasoning,0,0.2137
h01,domain_2,reasoning,1,0.4032
h01,domain_2,reasoning,2,0.3831
h01,domain_2,reasoning,3,0.0
h01,auth_1,judgment,0,0.2284
h01,auth_1,judgment,1,0.1246
h01,auth_1,judgment,2,0.3183
h01,auth_1,judgment,3,0.3287
h01,auth_1,reasoning,0,0.3463
h01,auth_1,reasoning,1,0.1712
h01,auth_1,reasoning,2,0.3696
h01,auth_1,reasoning,3,0.1128
h01,auth_1,reasoning,4,0.0
h01,domain_1,judgment,0,0.0316
h01,domain_1,judgment,1,0.4421
h01,domain_1,judgment,2,0.5263
h01,domain_1,judgment,3,0.0
h01,domain_1,reasoning,0,0.0833
h01,domain_1,reasoning,1,0.4271
h01,domain_1,reasoning,2,0.4896
h01,domain_1,reasoning,3,0.0
h01,mac_1,judgment,0,0.0457
h01,mac_1,judgment,1,0.1461
h01,mac_1,judgment,2,0.4064
h01,mac_1,judgment,3,0.4018
h01,mac_1,reasoning,0,0.244
h01,mac_1,reasoning,1,0.2411
h01,mac_1,reasoning,2,0.2976
h01,mac_1,reasoning,3,0.2173
h01,scope_3,judgment,0,0.0
h01,scope_3,judgment,1,0.5
