scenario_id,axis_id,axis_name,has_human_baseline,question,option_index,option_text,loading
mac_1,moral_agent,Moral Agent,1,judgment,0,She fulfilled a moral obligation to her family,-1
mac_1,moral_agent,Moral Agent,1,judgment,1,Her own goals and growth matter too — staying may not have been the right choice for her,0.7
mac_1,moral_agent,Moral Agent,1,judgment,2,"This was a personal decision about priorities, not a moral one",1
mac_1,moral_agent,Moral Agent,1,reasoning,0,Family obligations come before personal ambition,-1
mac_1,moral_agent,Moral Agent,1,reasoning,1,She would carry guilt or regret if she left,0
mac_1,moral_agent,Moral Agent,1,reasoning,2,Others in her life would judge her for leaving,-0.5
mac_2,moral_agent,Moral Agent,1,judgment,0,He put personal ambition ahead of his responsibilities,-1
mac_2,moral_agent,Moral Agent,1,judgment,1,He faced a genuine conflict — both paths had legitimate claims on him,0
mac_2,moral_agent,Moral Agent,1,judgment,2,He exercised his right to shape his own future,1
mac_2,moral_agent,Moral Agent,1,reasoning,0,Family members have a right to count on each other,-1
mac_2,moral_agent,Moral Agent,1,reasoning,1,"Education ultimately serves the whole family, even if it takes time",0
mac_2,moral_agent,Moral Agent,1,reasoning,2,Each person must decide their own path regardless of expectations,1
mac_3,moral_agent,Moral Agent,1,judgment,0,She is abandoning people who depended on her,-1
mac_3,moral_agent,Moral Agent,1,judgment,1,She earned the opportunity and her team will adapt,1
mac_3,moral_agent,Moral Agent,1,judgment,2,She should have made sure her team was taken care of before leaving,-0.5
mac_3,moral_agent,Moral Agent,1,reasoning,0,Three years of mentorship creates a bond that doesn’t end when a better offer arrives.,-1
mac_3,moral_agent,Moral Agent,1,reasoning,1,Staying out of guilt helps no one and sets a precedent that traps good people.,1
mac_3,moral_agent,Moral Agent,1,reasoning,2,The measure of a leader is what happens to the team after they leave.,-0.3
mac_4,moral_agent,Moral Agent,0,judgment,0,She should include the team. The work grew from shared soil.,-1
mac_4,moral_agent,Moral Agent,0,judgment,1,She should publish solo. The idea was hers.,1
mac_4,moral_agent,Moral Agent,0,judgment,2,"She should offer co-authorship to those who directly contributed, not the whole team.",0.3
mac_4,moral_agent,Moral Agent,0,reasoning,0,Individual contributions exist within a web of relationships that made them possible.,-1
mac_4,moral_agent,Moral Agent,0,reasoning,1,Intellectual honesty requires crediting the person who did the work.,1
mac_4,moral_agent,Moral Agent,0,reasoning,2,Fair attribution means tracing the actual chain of contribution.,0
mac_5,moral_agent,Moral Agent,0,judgment,0,"He should insist his son come forward. A parent owes it to the child, to himself, and to the community to raise a person of integrity.",-1
mac_5,moral_agent,Moral Agent,0,judgment,1,Whether to confess should be his son's own decision. Moral agency cannot be imposed.,1
mac_5,moral_agent,Moral Agent,0,judgment,2,He should guide his son but ultimately let him choose.,0
mac_5,moral_agent,Moral Agent,0,reasoning,0,"Raising a good person is a relational obligation that connects parent, child, and community.",-1
mac_5,moral_agent,Moral Agent,0,reasoning,1,"Each person must develop their own moral compass, even through mistakes.",1
mac_5,moral_agent,Moral Agent,0,reasoning,2,Repairing the harm matters more than how accountability happens.,0
mac_6,moral_agent,Moral Agent,0,judgment,0,He is rejecting something meaningful about his people by redefining himself.,-1
mac_6,moral_agent,Moral Agent,0,judgment,1,He has every right to define who he is regardless of where he comes from.,1
mac_6,moral_agent,Moral Agent,0,judgment,2,He can honor his roots and still choose his own path.,0.3
mac_6,moral_agent,Moral Agent,0,reasoning,0,Who we are is shaped by the people and place we come from.,-1
mac_6,moral_agent,Moral Agent,0,reasoning,1,Identity is something each person constructs for themselves.,1
mac_6,moral_agent,Moral Agent,0,reasoning,2,A person can belong to a community without being defined by it.,0
auth_1,authority,Authority,1,judgment,0,Her professional judgment should override the policy,1
auth_1,authority,Authority,1,judgment,1,Institutional rules must be followed even when individuals disagree,-1
auth_1,authority,Authority,1,judgment,2,The outcome for students matters more than whether she followed the rule,0.5
auth_1,authority,Authority,1,reasoning,0,Professionals have a duty to use their own judgment when they see harm,1
auth_1,authority,Authority,1,reasoning,1,"Rules exist to protect everyone equally, even when imperfect",-1
auth_1,authority,Authority,1,reasoning,2,The well-being of those affected should determine what’s right,0.5
auth_1,authority,Authority,1,reasoning,3,Authority deserves the benefit of the doubt,-1
auth_2,authority,Authority,1,judgment,0,She did the right thing by fixing what she knew was wrong,1
auth_2,authority,Authority,1,judgment,1,She should have followed her manager’s instruction and waited,-1
auth_2,authority,Authority,1,judgment,2,Her intent was good but going around her manager creates other problems,0
auth_2,authority,Authority,1,reasoning,0,Accuracy matters more than following a chain of command,1
auth_2,authority,Authority,1,reasoning,1,Organizations depend on people respecting established processes,-1
auth_2,authority,Authority,1,reasoning,2,She should have escalated rather than acted alone,-0.5
auth_2,authority,Authority,1,reasoning,3,A manager’s instructions should be followed unless clearly unethical,-1
auth_3,authority,Authority,1,judgment,0,The younger members should speak up if the decision is unjust,1
auth_3,authority,Authority,1,judgment,1,Respecting the elder’s authority preserves something valuable in the community,-1
auth_3,authority,Authority,1,judgment,2,Both the elder’s wisdom and the younger members’ concerns deserve consideration,0
auth_3,authority,Authority,1,reasoning,0,No one’s authority should be beyond challenge,1
auth_3,authority,Authority,1,reasoning,1,Traditional authority carries earned wisdom that outsiders may not see,-1
auth_3,authority,Authority,1,reasoning,2,Fairness matters more than tradition,0.5
auth_4,authority,Authority,0,judgment,0,The engineers' expertise should carry the decision.,-1.0
auth_4,authority,Authority,0,judgment,1,The residents' democratic voice should be respected even if the experts disagree.,1.0
auth_4,authority,Authority,0,judgment,2,The town should invest more time in helping residents understand the science before deciding.,0
auth_4,authority,Authority,0,reasoning,0,Technical decisions should be made by people with technical knowledge.,-1.0
auth_4,authority,Authority,0,reasoning,1,"Legitimacy comes from the consent of the people affected, not from credentials.",1.0
auth_4,authority,Authority,0,reasoning,2,Good decisions require both expertise and public trust.,0
auth_5,authority,Authority,0,judgment,0,She should follow her leader's guidance. She chose this path and its authority.,-1
auth_5,authority,Authority,0,judgment,1,She should trust her own conscience over any leader's instruction.,1
auth_5,authority,Authority,0,judgment,2,She should seek dialogue with the leader rather than simply obeying or refusing.,0
auth_5,authority,Authority,0,reasoning,0,"Committing to a spiritual path means accepting its authority, even when it is hard.",-1
auth_5,authority,Authority,0,reasoning,1,"No authority, chosen or not, should override a person's moral judgment.",1
auth_5,authority,Authority,0,reasoning,2,Healthy authority allows questioning without demanding obedience.,0.3
auth_6,authority,Authority,0,judgment,0,She should defer to her colleagues' consensus and follow standard protocols.,-1
